RMS,Variance,Skewness,Kurtosis,CrestFactor,ShapeFactor,ImpulseFactor,MarginFactor,Peak1,Peak2,Peak3,PeakLocs1,PeakLocs2,PeakLocs3,FalutID
2184.7715,4775555.5,0.015248022973537445,5.933723,4.662691,1.5293807,7.13103,20.337454,862183.3,610542.44,574989.75,398.4375,375.0,1757.8125,2
2179.586,4752734.5,0.015344878658652306,5.966039,4.6737847,1.5260967,7.132647,20.158699,758537.8,568016.4,565110.6,398.4375,1757.8125,375.0,2
1926.1654,3711777.0,0.25867462158203125,5.5447288,5.288702,1.4979694,7.922314,19.55672,485707.8,437190.0,397244.03,421.875,1781.25,1921.875,2
1988.8157,3957247.8,0.04951709508895874,5.1228337,4.5697637,1.4969827,6.8408575,18.240984,597724.7,413668.62,399359.25,398.4375,375.0,984.375,2
1974.4749,3900452.8,0.05417370796203613,5.239159,4.6029544,1.5146638,6.9719286,18.865099,622393.56,471157.62,404466.12,398.4375,375.0,960.9375,2
1962.1847,3851903.5,0.061059776693582535,5.344757,4.6317854,1.5250764,7.0638266,19.198484,564831.2,428743.0,409159.44,398.4375,960.9375,375.0,2
2129.5203,4536865.5,0.0326479971408844,5.932044,4.267824,1.5528121,6.627129,20.600943,581151.25,552374.56,493900.38,421.875,398.4375,351.5625,2
2088.4165,4363308.0,0.007276237942278385,5.861666,4.1365385,1.5441169,6.387299,20.292976,710250.94,575463.1,502669.28,398.4375,375.0,1312.5,2
2100.5105,4414298.5,0.00012624940427485853,5.749382,4.112722,1.525855,6.275417,19.59266,766622.44,625092.6,532540.94,398.4375,375.0,1429.6875,2
2124.8555,4516821.0,0.013713627122342587,5.5492964,4.0656013,1.5089817,6.134918,19.07084,743547.5,518778.28,499631.4,398.4375,1429.6875,375.0,2
2102.54,4420638.5,0.05242318660020828,5.4434137,4.2868805,1.510364,6.4747505,18.107313,508726.12,501358.97,495833.38,1500.0,1476.5625,351.5625,2
2058.5447,4239598.5,-0.11052355170249939,6.0896206,4.3785,1.5235769,6.6709814,21.060284,739643.6,575758.6,470283.4,398.4375,375.0,2062.5,2
2046.925,4191937.2,-0.1169745922088623,6.199579,4.403355,1.5378582,6.771736,21.647177,796464.25,655910.5,408138.7,398.4375,375.0,2062.5,2
2025.9702,4106232.8,-0.12190014868974686,6.385094,4.4488993,1.553757,6.9125085,22.290487,789759.1,520985.97,410849.06,398.4375,375.0,421.875,2
2052.5847,4215004.0,-0.20429101586341858,5.876732,4.070737,1.5314478,6.234121,20.902607,678478.44,585738.4,479952.3,398.4375,421.875,2039.0625,2
2133.106,4552356.5,-0.22654423117637634,5.4138746,3.9170732,1.5354965,6.014652,18.59575,741583.4,522537.66,459190.84,398.4375,2320.3125,375.0,2
2151.099,4629486.0,-0.21809080243110657,5.275422,3.8843083,1.5213013,5.909203,18.139336,736668.9,570001.9,527709.94,398.4375,375.0,2320.3125,2
2151.6,4631643.0,-0.21997614204883575,5.272624,3.883404,1.5156096,5.8857245,17.878214,674054.94,497627.8,459525.97,398.4375,375.0,2343.75,2
2105.5093,4434427.0,-0.06970181316137314,5.358411,3.658702,1.5162358,5.547455,16.73579,582279.9,553537.5,461295.16,421.875,750.0,351.5625,2
2077.3293,4317190.5,0.017797600477933884,5.2510476,3.865356,1.5004184,5.799651,17.367483,697450.7,562846.06,491246.0,398.4375,375.0,750.0,2
2077.0842,4316383.5,0.02649986743927002,5.26881,3.865812,1.4964484,5.784988,17.149214,759493.6,606264.2,479247.9,398.4375,375.0,2343.75,2
2126.7747,4524856.0,0.07574421167373657,5.097958,3.7754903,1.4997247,5.662196,17.036577,778585.44,502360.2,461655.9,398.4375,2343.75,375.0,2
2140.1147,4581837.5,-0.07428845763206482,5.1466804,3.7519565,1.5155386,5.6862345,17.351929,582433.75,503825.94,446486.66,398.4375,2343.75,2460.9375,2
2125.0513,4517765.5,-0.04167573153972626,5.4774475,4.8401065,1.5252746,7.3824916,20.99738,627268.7,471866.56,441797.28,398.4375,375.0,1007.8125,2
2124.5317,4515840.0,-0.02885804884135723,5.468711,4.84129,1.5260417,7.388011,21.10479,638676.6,585225.1,478877.88,398.4375,375.0,1007.8125,2
2072.741,4297528.0,-0.11215271800756454,5.74104,4.9622574,1.5408747,7.6462173,21.854427,540628.4,521366.34,492587.56,398.4375,375.0,1007.8125,2
2083.6938,4342818.5,-0.34562718868255615,5.7958694,4.9361734,1.5287701,7.5462747,21.39299,502692.97,485911.97,392850.06,351.5625,421.875,1218.75,2
2091.8486,4377966.5,-0.3008366525173187,5.58435,4.1694617,1.5237483,6.3532104,19.845192,761897.4,517980.47,515773.3,398.4375,1429.6875,375.0,2
2081.2117,4333556.0,-0.3249015212059021,5.6596494,4.1907716,1.5294068,6.4093947,20.057936,817629.06,599038.1,494868.53,398.4375,375.0,1429.6875,2
2071.3145,4292322.5,-0.31404387950897217,5.7007394,4.210796,1.5253866,6.423092,20.01058,825710.8,540364.2,501156.78,398.4375,375.0,914.0625,2
2025.1293,4103000.5,-0.005816609598696232,6.274738,4.3869576,1.5488164,6.794592,21.689426,576280.3,499439.22,481209.06,398.4375,421.875,2156.25,2
2092.2405,4379438.0,0.31987231969833374,7.70449,6.1590714,1.5922812,9.806974,26.219204,585562.4,576828.8,478826.56,398.4375,375.0,2343.75,2
